Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603,1,1uF 50V,
C10,C_0603_,1,100nF,
"C11, C6, C7",C_0402,3,1uF,
"C12, C14, C15, C3, C4",C_0402,5,1uF 25V,
"C17, C18",C_0402,2,4.7uF,
C2,C_0402,1,100nF,
"C21, C22",C_0402,2,33pF,
C5,C_0603,1,22uF,
C8,C_0603_,1,10uF 50V,C1591
C9,C_0603_,1,10uF 6.3V,C1691
"D1, D2, D3, D6",D_SOD-123,4,MBR0530,C5204746
D4,SMD1010,1,XL-1010RGBC-WS2812B,C5349953
D7,SOT-363_SC-70-6,1,BAV99S,C96225
J1,XUNPU-FPC-05FB-24PH20,1,Conn_01x26,C2856831
J7,USB-C-Socket-H,1,USB-C-Socket-V,C709357
L1,L_4x4,1,10uH,
L2,L_4x4_,1,10uH,
Q1,SOT-23,1,BSS138,C2938375
R1,R_0402,1,0.47R,
R10,R_0402_,1,39k2,
R11,R_0402_,1,1M,
R2,R_0402,1,3R,
"R3, R8",R_0402,2,10K,
"R4, R5",R_0402,2,5k1,
"R6, R7",R_0402,2,100R,
R9,R_0402_,1,124k,
U3,SOT-23-6-MD8942,1,MD8942,C2684786
U4,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
